PlayerID,Name,BirthYear
1,Al Brightman,
2,Al Lujack,
3,Al Negratti,
4,Angelo Musi,
4,Angelo Musi,
4,Angelo Musi,
5,Ariel Maughan,1923
5,Ariel Maughan,1923
5,Ariel Maughan,1923
5,Ariel Maughan,1923
5,Ariel Maughan,1923
5,Ariel Maughan,1923
5,Ariel Maughan,1923
6,Armand Cure,
7,Art Hillhouse,
7,Art Hillhouse,
8,Art Spector,1920
8,Art Spector,1920
8,Art Spector,1920
8,Art Spector,1920
9,Art Stolkey,
10,Aubrey Davis,
11,Aud Brindley,
12,Belus Smawley,1918
12,Belus Smawley,1918
12,Belus Smawley,1918
12,Belus Smawley,1918
12,Belus Smawley,1918
12,Belus Smawley,1918
12,Belus Smawley,1918
12,Belus Smawley,1918
13,Ben Goldfaden,
14,Ben Scharnus,
14,Ben Scharnus,
15,Bill Davis,
16,Bob Cluggish,
17,Bob Dille,
18,Bob Doll,1919
18,Bob Doll,1919
18,Bob Doll,1919
18,Bob Doll,1919
19,Bob Duffy,1922
19,Bob Duffy,1922
19,Bob Duffy,1922
20,Bob Faught,
21,Bob Feerick,1920
21,Bob Feerick,1920
21,Bob Feerick,1920
21,Bob Feerick,1920
22,Bob Fitzgerald,
22,Bob Fitzgerald,
22,Bob Fitzgerald,
22,Bob Fitzgerald,
23,Bob Gantt,
24,Bob Mullens,
24,Bob Mullens,
24,Bob Mullens,
25,Bob Rensberger,
26,Bob Shea,
27,Bones McKinney,1919
27,Bones McKinney,1919
27,Bones McKinney,1919
27,Bones McKinney,1919
27,Bones McKinney,1919
27,Bones McKinney,1919
27,Bones McKinney,1919
27,Bones McKinney,1919
28,Buck Sydnor,
29,Bud Palmer,
29,Bud Palmer,
29,Bud Palmer,
30,Buddy O'Grady,
30,Buddy O'Grady,
30,Buddy O'Grady,
30,Buddy O'Grady,
30,Buddy O'Grady,
31,Butch van Breda Kolff,1922
31,Butch van Breda Kolff,1922
31,Butch van Breda Kolff,1922
31,Butch van Breda Kolff,1922
32,Cecil Hankins,
32,Cecil Hankins,
33,Charlie Hoefer,
33,Charlie Hoefer,
33,Charlie Hoefer,
33,Charlie Hoefer,
34,Chet Aubuchon,
35,Chet Carlisle,
36,Chick Halbert,1919
36,Chick Halbert,1919
36,Chick Halbert,1919
36,Chick Halbert,1919
36,Chick Halbert,1919
36,Chick Halbert,1919
36,Chick Halbert,1919
36,Chick Halbert,1919
36,Chick Halbert,1919
